dataset,row_index,action,chosen_candidate_hash,ptt_rules,ptt_controllers,vocab_links,firewall_scored,firewall_blocked,firewall_massive,macro_started,macro_completed
20260529,198,wait,1230253ea99297e7,5,5,0,63,0,0,20,20
20260529,199,wait,bdd117ed16736c5b,5,5,0,0,0,0,21,21
20260529,200,reposition,3343cd54aa9a4c01,5,5,0,52,0,0,22,21
20260529,201,wait,b4d1da4676e26355,5,5,0,0,0,0,22,22
20260529,202,take_order,caecf3ee05b6f493,5,5,0,71,0,0,22,22
20260529,203,wait,1230253ea99297e7,5,5,0,40,0,0,22,22
20260529,204,wait,1230253ea99297e7,5,5,0,46,0,0,22,22
20260529,205,wait,836f5aa2ce99563a,5,5,0,0,0,0,23,23
20260529,206,reposition,3343cd54aa9a4c01,5,5,0,33,0,0,24,23
20260529,207,wait,b4d1da4676e26355,5,5,0,0,0,0,24,24
20260529,208,take_order,578292e84f7128ad,5,5,0,36,0,0,24,24
20260529,209,wait,1230253ea99297e7,5,5,1,39,0,0,24,24
20260529,210,wait,1230253ea99297e7,5,5,1,48,0,0,24,24
20260529,211,wait,0919c93aa69e7775,5,5,0,0,0,0,25,25
20260529,212,reposition,3343cd54aa9a4c01,5,5,1,30,0,0,26,25
20260529,213,wait,b4d1da4676e26355,5,5,0,0,0,0,26,26
20260529,214,take_order,6a07a899017a2de9,5,5,1,55,0,0,26,26
20260529,215,take_order,7261a21147008c04,5,5,0,34,0,0,26,26
20260529,216,wait,1230253ea99297e7,5,5,0,45,0,0,26,26
20260529,217,wait,23d9094fac31d961,5,5,0,0,0,0,27,27
20260529,218,take_order,cd4af7846f60ba9f,5,5,0,24,0,0,27,27
20260529,219,take_order,7301e259ba2fbc1b,5,5,0,47,0,0,27,27
20260529,220,wait,1230253ea99297e7,5,5,1,51,0,0,27,27
20260529,221,wait,2bb4a49c3a5c2f2e,5,5,0,0,0,0,28,28
20260529,222,take_order,892f5f0b4ad4088c,5,5,0,28,0,0,28,28
20260529,223,wait,1230253ea99297e7,5,5,1,58,0,0,28,28
20260529,224,wait,54f8836605b2d163,5,5,0,0,0,0,29,29
20260529,225,wait,54063e001d641e2e,5,5,0,0,0,0,30,30
20260529,226,reposition,3343cd54aa9a4c01,5,5,1,43,0,0,31,30
20260529,227,wait,b4d1da4676e26355,5,5,0,0,0,0,31,31
20260529,228,take_order,23f274f926d87162,5,5,1,48,0,0,31,31
20260529,229,wait,1230253ea99297e7,5,5,0,56,0,0,31,31
20260529,230,wait,1230253ea99297e7,5,5,0,55,0,0,31,31
20260529,231,wait,20d8b10916975d17,5,5,0,0,0,0,32,32
20260529,232,reposition,3343cd54aa9a4c01,5,5,1,47,0,0,33,32
20260529,233,wait,b4d1da4676e26355,5,5,0,0,0,0,33,33
20260529,234,take_order,5e396029faae5fd5,5,5,1,65,0,0,33,33
20260529,235,wait,1230253ea99297e7,5,5,0,48,0,0,33,33
20260529,236,wait,1230253ea99297e7,5,5,1,55,0,0,33,33
20260529,237,wait,1230253ea99297e7,5,5,1,62,0,0,33,33
20260529,238,wait,130482be262da803,5,5,0,0,0,0,34,34
20260529,239,reposition,3343cd54aa9a4c01,5,5,1,62,0,2,35,34
